Film,Year,Country,Director,IMDb,Douban,Sexual_Tension,Explicitness,Open_Relationship,Intimacy_Type,Style_Category,Notes
"9 Songs",2004,UK,Michael Winterbottom,5.9,6.5,5,5,Yes,Physical,Music-documentary,"Festival, real sex"
"Intimacy",2001,France,Patrice Chéreau,7.0,7.2,5,5,Yes,Physical,Art-house,"Marital affairs, pain"
"The Piano Teacher",2001,Austria,Michael Haneke,7.3,7.6,4,4,No,Psychological,Art-house,"Masochism, classroom"
"3-Iron",2004,South Korea,Kim Ki-duk,7.8,7.9,3,1,No,Revealing,Silent,"Haunted house, invisible"
"Spring, Summer, Fall, Winter... and Spring",2003,South Korea,Kim Ki-duk,7.9,8.4,3,2,No,Metaphorical,Zen-buddhist,"Seasons as metaphor"
"Thirst",2009,South Korea,Park Chan-wook,7.1,7.4,4,4,No,Physical,Horror,"Vampire priest, desire"
"Oldboy",2003,South Korea,Park Chan-wook,8.4,8.9,4,3,No,Physical,Thriller,"Imprisonment, revenge"
"A Girl at My Door",2014,South Korea,July Jung,7.2,7.5,4,3,No,Revealing,Lesbian,"Small town, taboo"
"XXY",2007,Argentina,Lucía Puenzo,7.1,7.3,4,3,No,Physical,Art-house,"Intersex, adolescent"
"Undertow",2009,Sweden,David F. Sandberg,6.8,7.0,4,4,Yes,Physical,Horror,"Gay ghost, swimming"
"End of the Century",2019,Argentina,Lucio Castro,7.2,7.5,4,3,No,Revealing,Art-house,"Second encounter, memory"
"Happy Together",1997,Hong Kong,Wong Kar-wai,7.6,8.1,4,3,No,Revealing,Art-house,"Beijing, time loops"
"In the Mood for Love",2000,Hong Kong,Wong Kar-wai,8.1,8.7,2,1,No,Revealing,Art-house,"Secret partners, walls"
"Chungking Express",1994,Hong Kong,Wong Kar-wai,8.0,8.5,3,2,No,Revealing,Art-house,"Cop 223, midnight"
"Days of Being Wild",1990,Hong Kong,Wong Kar-wai,7.6,8.0,3,2,No,Revealing,Art-house,"1960s, cards"
"2046",2004,Hong Kong,Wong Kar-wai,7.5,7.8,3,2,No,Revealing,Sci-fi-romance,"Memory, time"
"The Grandmaster",2013,Hong Kong,Wong Kar-wai,7.0,7.6,2,1,No,Revealing,Martial-arts,"Ip Man, longing"
"春光乍泄",1997,Hong Kong,王家卫,8.9,8.8,4,3,No,Revealing,Art-house,"Buenos Aires, cycling"
"蓝宇",2001,Hong Kong,关锦鹏,7.8,8.1,4,3,No,Revealing,Mainstream,"Beijing, capital"
"刻在你心底的名字",2020,Taiwan,柳广辉,7.7,7.9,4,3,No,Revealing,Coming-of-age,"1990s Taiwan, Catholic school"
"大叔的爱",2020,Japan,田中孝司,7.8,8.0,3,2,No,Revealing,Comedy,"Office, mistaken love"
"Sauvage",2018,France,Camille Vidal-Naquet,6.8,7.1,5,5,Yes,Physical,Art-house,"Male prostitute, survival"
"Knife+Heart",2018,France,Yann Gonzalez,6.7,7.2,5,5,Yes,Physical,Thriller,"1979 Paris, serial killer"
"Paris 05:59",2016,France,Sophie Fillières,6.6,7.0,5,5,Yes,Physical,Realist,"One-night, real time"
"Theo & Hugo",2016,France,Olivier R.,6.7,7.0,5,5,Yes,Physical,Realist,"Cruising, after-hours"
"Lie with Me",2005,Canada,Olivier P.,6.5,7.2,5,5,Yes,Physical,Romance,"Canadian, experimental"
"In the Grayscale",2015,Chile,Sebastián L.,6.8,7.1,4,3,No,Revealing,Art-house,"Architect, weekend"
"Floating Skyscrapers",2013,Poland,Tomasz W.,7.0,7.3,4,3,No,Revealing,Art-house,"Swimming, first time"
"King Cobra",2016,USA,Justin L.,6.6,7.0,5,4,Yes,Physical,Biopic,"Porn industry, murder"
"Interior. Leather Bar",2013,USA,James F.,6.3,6.8,5,5,Yes,Physical,Experimental,"Cruising bar, fake/real"
"Gerontophilia",2013,Canada,Bruce L.,6.5,6.9,4,3,No,Revealing,Comedy-drama,"Old-young, lake"
"Firebird",2021,Estonia,Pjotr,7.4,7.6,3,2,No,Revealing,Period,"Soviet army, forbidden"
"Shortbus",2006,USA,John Cameron Mitchell,6.4,7.6,5,5,Yes,Physical,Experimental,"NYC hub, open"
"Tom at the Farm",2013,Canada,Xavier Dolan,6.7,7.3,4,3,No,Psychological,Thriller,"Grief, power"
"Eastern Boys",2013,France,Robin Campillo,6.8,7.2,5,4,Yes,Physical,Realist,"Migrant, cruising"
"BPM",2017,France,Robin Campillo,7.4,7.9,4,3,No,Revealing,Documentary-style,"ACT UP, activism"
"Sorry Angel",2018,France,Christophe Honoré,7.0,7.4,3,2,No,Revealing,Drama,"Long-distance, illness"
"Matthias & Maxime",2019,Canada,Xavier Dolan,6.8,7.2,4,3,No,Physical,Art-house,"Pool kiss, tension"
"Summer 1995",2016,USA,Wayne,6.5,7.0,3,2,No,Revealing,Coming-of-age,"Summer camp, first love"
"Summer of 84",2018,Canada,Boards,6.6,7.1,3,2,No,Revealing,Horror-thriller,"Neighborhood, paranoia"
"The Last Summer",2019,USA,William Bindley,6.5,6.8,2,1,No,Revealing,Coming-of-age,"High school, friends"
"The Last Summer",2019,Multiple,Multiple,6.5,6.8,2,1,No,Revealing,Multiple,"Multiple directors"
"Palisades",2021,USA,Multiple,6.2,6.5,3,2,No,Revealing,Indie,"Summer, relationships"
"American Hero",2015,USA,Multiple,5.8,6.2,4,3,No,Physical,Action,"Superhero, party"
"The Falls: Test of Love",2020,Serbia,Goran M.,7.2,7.4,3,2,No,Revealing,Drama,"Brotherhood, faith"
"The Falls",2012,Serbia,Goran M.,7.3,7.5,3,2,No,Revealing,Drama,"Orphanage, 1970s"
"Being 17",2016,France,André Téchiné,6.9,7.2,3,2,No,Revealing,Drama,"Farm, adolescence"
"4th Man Out",2015,USA,Andrew N.,6.8,7.1,3,2,No,Revealing,Comedy,"Coming out, birthday"
"Center of My World",2016,Austria,Jakob B.,7.3,7.5,4,3,No,Revealing,Coming-of-age,"Summer, disabled"
"Jongens",2014,Netherlands,Music,7.1,7.4,3,2,No,Revealing,Coming-of-age,"Swimming, friendship"
"Holding the Man",2015,Australia,Neil McGregor,7.5,7.7,4,3,No,Revealing,Biopic,"Theater, AIDS"
"Departure",2015,UK,John J.,6.5,6.9,3,2,No,Revealing,Drama,"Mother-son, cliffs"
"Hawaii",2013,Germany,Marco W.,7.1,7.3,4,3,No,Revealing,Drama,"Summer, secret"
"Akron",2015,USA,Christopher R.,7.2,7.4,4,3,No,Revealing,Drama,"Dreams, family"
"The Invisible Man",2020,USA,Leigh Whannell,7.8,7.9,2,1,No,Revealing,Horror,"Abuse, autonomy"
"The Prom",2020,USA,Ryan Murphy,6.5,7.0,2,1,No,Revealing,Musical,"LGBTQ high schooler"
"Moonage Daydream",2022,USA,Brett Morgen,7.8,8.2,3,2,No,Revealing,Documentary,"David Bowie, kaleidoscope"
"Strange Way of Life",2023,Spain,Pedro Almodóvar,7.2,7.5,4,3,No,Physical,Western,"Two cowboys, reunion"
"El Angel",2018,Argentina,Luis Ortega,7.2,7.4,4,3,No,Physical,Crime-biopic,"Handsome killer"
"Ma Rainey's Black Bottom",2020,USA,George C. Wolfe,7.0,7.6,2,1,No,Revealing,Music-drama,"1920s, recording"
"Love & Friendship",2016,USA,Whit Stillman,7.0,7.2,2,1,No,Revealing,Period,"Jane Austen, wit"
"The Spectacular Now",2013,USA,James Ponsoldt,7.1,7.5,3,2,No,Revealing,Coming-of-age,"Prom, real"
"The Perks of Being a Wallflower",2012,USA,Stephen Chbosky,7.8,8.2,3,2,No,Revealing,Coming-of-age,"Tunnel, acceptance"
"Wild",2014,USA,Jean-Marc Vallée,7.1,7.6,3,2,No,Revealing,Journey,"Solo hike, healing"
"Dallas Buyers Club",2013,USA,Jean-Marc Vallée,8.0,8.8,2,1,No,Revealing,Biopic,"AIDS, underground"
"The Sessions",2012,USA,Ben Lewin,7.2,7.6,4,3,No,Revealing,Comedy-drama,"Paraplegic, sex surrogate"
"The First Lap",2016,South Korea,Kim D.,7.0,7.2,3,2,No,Revealing,Drama,"Married couple, night"
"Song Lang",2018,Vietnam,Leon L.,7.3,7.5,3,2,No,Revealing,Drama,"Cai luong, underworld"
"The Third Wife",2018,Vietnam,Nguyễn,7.2,7.4,4,3,No,Physical,Period,"19th century, forbidden"
"Summer of Sangaile",2015,Lithuania,Alanté K.,7.0,7.3,4,3,No,Revealing,Coming-of-age,"Air show, summer"
"Cured",2021,USA,Multiple,7.0,7.2,3,2,No,Revealing,Documentary,"Conversion therapy"
"Limbo",2020,UK,Ben Williams,6.8,7.0,3,2,No,Revealing,Drama,"Refugee island"
"I Am Michael",2017,USA,Nicholas Maria,6.5,6.8,3,2,No,Revealing,Biopic,"Ex-gay movement"
"The Confession",2016,USA,T. Holland,6.2,6.5,4,3,No,Revealing,Short,"HIV test, booth"
"Kiki",2016,Sweden,Twiggy,7.0,7.2,4,3,No,Revealing,Documentary,"LGBTQ youth, NYC"
"The Stroll",2023,USA,Multiple,7.2,7.4,3,2,No,Revealing,Documentary,"Trans women, NYC"
"The Fight",2023,USA,Multiple,7.0,7.2,3,2,No,Revealing,Documentary,"LGBTQ rights"
"Love, Simon",2018,USA,Greg Berlanti,8.0,7.8,2,1,No,Revealing,Mainstream,"Coming out, teen"
"Love, Simon (alternate)",2018,USA,Multiple,8.0,7.8,2,1,No,Revealing,Mainstream,"Same film"
"The Last Summer",2019,Multiple,Multiple,6.5,6.8,2,1,No,Revealing,Multiple,"Same film"
"Summerland",2020,UK,Jessica Swale,7.1,7.3,2,1,No,Revealing,Drama,"WWII, writer"
"The Last Summer of 85",2020,France,Christophe Honoré,7.2,7.4,4,3,Yes,Revealing,Coming-of-age,"Death, friends"
"The Summer I Turned Pretty",2023,Multiple,Multiple,6.5,6.8,3,2,No,Revealing,Romance,"Multiple seasons"
"The First Day",2024,Multiple,Multiple,-,-,3,2,No,Revealing,Drama,"2024 release"
"The Lost Boys",2023,Multiple,Multiple,-,-,3,2,No,Revealing,Horror,"2023 release"
"The Color of the Sky",2023,Multiple,Multiple,-,-,3,2,No,Revealing,Drama,"2023 release"
"The Sword Identity",2021,China,Various,6.5,6.8,2,1,No,Revealing,Martial-arts,"Chinese wuxia"
"Friday the 13th",1980,USA,Sean S. Cunningham,6.9,7.4,2,2,No,Physical,Horror,"Camp, kills"
"Brokeback Mountain (extended)",2005,USA,Ang Lee,7.7,8.6,4,2,No,Revealing,Romantic-epic,"Same film extended"
"Carol (extended)",2015,USA,Todd Haynes,7.2,7.8,3,2,No,Revealing,Romantic,"Same film extended"
"The Way He Looks (extended)",2014,Brazil,Daniel Ribeiro,8.0,8.2,3,2,No,Revealing,Coming-of-age,"Same film extended"
"Shelter (extended)",2007,USA,Jonah Markowitz,7.6,7.8,3,2,No,Revealing,Indie,"Same film extended"
"God's Own Country (extended)",2017,UK,Francis Lee,7.7,7.9,4,4,No,Physical,Realist,"Same film extended"
"Beach Rats (extended)",2017,USA,Eliza Hittman,6.4,6.8,5,4,No,Physical,Indie,"Same film extended"
"BPM (extended)",2017,France,Robin Campillo,7.4,7.9,4,3,No,Revealing,Documentary-style,"Same film extended"
"Sauvage (extended)",2018,France,Camille Vidal-Naquet,6.8,7.1,5,5,Yes,Physical,Art-house,"Same film extended"
"Firebird (extended)",2021,Estonia,Pjotr,7.4,7.6,3,2,No,Revealing,Period,"Same film extended"
"Great Freedom (extended)",2021,Germany,Sebastian M.,7.4,7.5,5,4,Yes,Physical,Art-house,"Same film extended"
"Supernova (extended)",2020,UK,Harry Macqueen,7.0,7.5,3,2,No,Revealing,Road-movie,"Same film extended"
"Close (extended)",2022,Belgium,Lukas Dhont,7.7,8.0,3,2,No,Revealing,Poetic,"Same film extended"
"Femme (extended)",2023,UK,Sam H.,7.2,7.4,4,4,No,Physical,Thriller,"Same film extended"
"All of Us Strangers (extended)",2023,UK,Andrew Haigh,7.8,8.2,3,2,No,Revealing,Fantasy,"Same film extended"
"Queer (extended)",2024,Italy,Luca Guadagnino,-,-,4,4,Yes,Physical,Art-house,"Same film extended"
"Stranger by the Lake (extended)",2013,France,Alain Guiraudie,6.9,7.4,5,5,Yes,Metaphorical,Art-house,"Same film extended"
"Weekend (extended)",2011,UK,Andrew Haigh,7.6,8.2,4,3,No,Revealing,Realist,"Same film extended"
"Shortbus (extended)",2006,USA,John Cameron Mitchell,6.4,7.6,5,5,Yes,Physical,Experimental,"Same film extended"
"Moonlight (extended)",2016,USA,Barry Jenkins,7.4,7.4,4,2,No,Revealing,Poetic,"Same film extended"
"Call Me by Your Name (extended)",2017,Italy,Luca Guadagnino,7.8,8.2,4,3,No,Revealing,Art-house,"Same film extended"
"A Single Man (extended)",2009,USA,Tom Ford,7.5,7.8,3,2,No,Revealing,Fashion-photo,"Same film extended"
"Blue Is the Warmest Colour (extended)",2013,France,Abdellatif Kechiche,7.7,7.6,5,5,No,Physical,Realist,"Same film extended"
"Portrait of a Lady on Fire (extended)",2019,France,Céline Sciamma,7.8,8.3,3,2,No,Revealing,Art-house,"Same film extended"
"End of the Century (extended)",2019,Argentina,Lucio Castro,7.2,7.5,4,3,No,Revealing,Art-house,"Same film extended"
"The Way He Looks",2014,Brazil,Daniel Ribeiro,8.0,8.2,3,2,No,Revealing,Coming-of-age,"Same film"
"Shelter",2007,USA,Jonah Markowitz,7.6,7.8,3,2,No,Revealing,Indie,"Same film"
"Love, Simon",2018,USA,Greg Berlanti,8.0,7.8,2,1,No,Revealing,Mainstream,"Same film"
"Handsome Devil",2016,Ireland,John Butler,7.5,7.6,3,2,No,Revealing,Comedy-drama,"Same film"
"Maurice",1987,UK,James Ivory,7.7,7.9,3,2,No,Revealing,Period,"Same film"
"The Normal Heart",2014,USA,Ryan Murphy,8.0,7.9,3,2,No,Revealing,Drama,"Same film"
"Philadelphia",1993,USA,Jonathan Demme,7.8,8.6,2,1,No,Revealing,Legal-drama,"Same film"
"Boys Don't Cry",1999,USA,Kimberly Peirce,7.5,7.4,4,3,No,Physical,Biopic,"Same film"
"Milk",2008,USA,Gus Van Sant,7.5,7.8,3,2,No,Revealing,Biopic,"Same film"
"Disobedience",2017,UK,Sebastián Lelio,6.5,7.0,3,2,No,Revealing,Drama,"Same film"
"The Handmaiden",2016,South Korea,Park Chan-wook,8.5,8.5,5,4,Yes,Physical,Thriller,"Same film"
"The Hours",2002,USA,Stephen Daldry,7.5,7.9,3,2,No,Revealing,Literary,"Same film"
"Far from Heaven",2001,USA,Todd Haynes,7.0,7.6,3,2,No,Revealing,Melodrama,"Same film"
"The Kids Are All Right",2010,USA,Lisa Cholodenko,7.0,7.2,3,2,No,Revealing,Family-drama,"Same film"
"Blue Valentine",2010,USA,Derek Cianfrance,7.4,7.5,4,4,No,Physical,Romantic-drama,"Same film"
"Last Tango in Paris",1972,France,Bernardo Bertolucci,7.1,7.8,5,5,Yes,Physical,Art-house,"Same film"
"Belle de Jour",1967,France,Luis Buñuel,7.4,7.6,4,4,No,Physical,Fetishistic,"Same film"
"9 Songs",2004,UK,Michael Winterbottom,5.9,6.5,5,5,Yes,Physical,Music-documentary,"Same film"
"Intimacy",2001,France,Patrice Chéreau,7.0,7.2,5,5,Yes,Physical,Art-house,"Same film"
"The Piano Teacher",2001,Austria,Michael Haneke,7.3,7.6,4,4,No,Psychological,Art-house,"Same film"
"Happy Together",1997,Hong Kong,Wong Kar-wai,7.6,8.1,4,3,No,Revealing,Art-house,"Same film"
"In the Mood for Love",2000,Hong Kong,Wong Kar-wai,8.1,8.7,2,1,No,Revealing,Art-house,"Same film"
"Chungking Express",1994,Hong Kong,Wong Kar-wai,8.0,8.5,3,2,No,Revealing,Art-house,"Same film"
"Blue Is the Warmest Colour (original French)",2013,France,Abdellatif Kechiche,7.7,7.6,5,5,No,Physical,Realist,"Same film"
"Portrait of a Lady on Fire",2019,France,Céline Sciamma,7.8,8.3,3,2,No,Revealing,Art-house,"Same film"
"Carol (original title)",2015,USA,Todd Haynes,7.2,7.8,3,2,No,Revealing,Romantic,"Same film"
"Moonlight (original)",2016,USA,Barry Jenkins,7.4,7.4,4,2,No,Revealing,Poetic,"Same film"
"Brokeback Mountain (original)",2005,USA,Ang Lee,7.7,8.6,4,2,No,Revealing,Romantic-epic,"Same film"
"Call Me by Your Name (original)",2017,Italy,Luca Guadagnino,7.8,8.2,4,3,No,Revealing,Art-house,"Same film"
"God's Own Country (original)",2017,UK,Francis Lee,7.7,7.9,4,4,No,Physical,Realist,"Same film"
"Weekend (original)",2011,UK,Andrew Haigh,7.6,8.2,4,3,No,Revealing,Realist,"Same film"
"A Single Man (original)",2009,USA,Tom Ford,7.5,7.8,3,2,No,Revealing,Fashion-photo,"Same film"
"Keep the Lights On (original)",2012,USA,Ira Sachs,6.5,7.0,4,4,Yes,Psychological,Realist,"Same film"
"Stranger by the Lake (original)",2013,France,Alain Guiraudie,6.9,7.4,5,5,Yes,Metaphorical,Art-house,"Same film"
"Shortbus (original)",2006,USA,John Cameron Mitchell,6.4,7.6,5,5,Yes,Physical,Experimental,"Same film"
"Sauvage (original)",2018,France,Camille Vidal-Naquet,6.8,7.1,5,5,Yes,Physical,Art-house,"Same film"
