Film,Year,Country,Director,IMDb,Double_9,Sexual_Tension,Explicitness,Open_Relationship,Intimacy_Type,Style_Category,Region,Tags,Watch_Platform,Director_Background,Why_Watch,Recommended_If_Like
"Shortbus",2006,USA,John Cameron Mitchell,6.4,7.6,5,5,Yes,Physical,Experimental,USA,"open relationships,NYC",HBO Max,USA,Most explicit American film,"Stranger by the Lake","9 Songs"
"Sauvage",2018,France,Camille Vidal-Naquet,6.8,7.1,5,5,Yes,Physical,Art-house,Europe,"body survival,male escort",Prime,France,Body as survival mechanism,"Stranger by the Lake","Great Freedom"
"Keep the Lights On",2012,USA,Ira Sachs,6.5,7.0,4,4,Yes,Psychological,Realist,USA,"addiction,relationship decay",MUBI,USA,Relationship decay through addiction,"Weekend","Blue Valentine"
"A Single Man",2009,USA,Tom Ford,7.5,7.8,3,2,No,Revealing,Fashion-photo,USA,"grief,memory montage",Netflix,USA,Grief as aesthetic experience,"Moonlight","The Hours"
"Portrait of a Lady on Fire",2019,France,Céline Sciamma,7.8,8.3,3,2,No,Revealing,Art-house,Europe,"gaze as intimacy,painting",Netflix,France,Gaze as intimacy - no touching needed,"Carol","Blue Is the Warmest Colour"
"God's Own Country",2017,UK,Francis Lee,7.7,7.9,4,4,No,Physical,Realist,UK,"rough,earth,emotional arc",Prime,UK,Grounded rural masculinity,"Weekend","Sauvage"
"End of the Century",2019,Argentina,Lucio Castro,7.2,7.5,4,3,No,Revealing,Art-house,Latin,"Buenos Aires,chance",Prime,Argentina,Minimalist queer cinema,"Weekend","Happy Together"
"Matthias & Maxime",2019,Canada,Xavier Dolan,6.8,7.2,4,3,No,Physical,Art-house,North,"pool kiss,tension",Prime,Canada,Tension through non-action,"Weekend","Call Me by Your Name"
"Beach Rats",2017,USA,Eliza Hittman,6.4,6.8,5,4,No,Physical,Indie,USA,"summer exploration,Brooklyn",Netflix,USA,Summer exploration of identity,"Sauvage","Weekend"
"BPM (120 Battements Par Minute)",2017,France,Robin Campillo,7.4,7.9,4,3,No,Revealing,Documentary-style,Europe,"ACT UP,urgency",Netflix,France,Activism meets intimacy,"Keep the Lights On","The Normal Heart"
"Firebird",2021,Estonia,Pjotr,7.4,7.6,3,2,No,Revealing,Period,Europe,"Cold war,forbidden",Prime,Estonia,Forbidden love in Soviet army,"Brokeback Mountain","Great Freedom"
"Great Freedom",2021,Germany,Sebastian M.,7.4,7.5,5,4,Yes,Physical,Art-house,Europe,"prison,repeated encounters",Prime,Germany,Queer persistence through trauma,"Sauvage","BPM"
"Supernova",2020,UK,Harry Macqueen,7.0,7.5,3,2,No,Revealing,Road-movie,UK,"road trip,dementia",HBO Max,UK,Road trip with dementia,"A Single Man","The Hours"
"Close",2022,Belgium,Lukas Dhont,7.7,8.0,3,2,No,Revealing,Poetic,Europe,"childhood friends,trauma",Netflix,Belgium,Trauma after childhood closeness,"Moonlight","All of Us Strangers"
"Femme",2023,UK,Sam H.,7.2,7.4,4,4,No,Physical,Thriller,UK,"performance,revenge",Prime,UK,Performance as survival,"The Handmaiden","Blue Is the Warmest Colour"
"All of Us Strangers",2023,UK,Andrew Haigh,7.8,8.2,3,2,No,Revealing,Fantasy,UK,"ghosts,memory",HBO Max,UK,Ghosts meet present reality,"A Single Man","Close"
"Queer",2024,Italy,Luca Guadagnino,-,-,4,4,Yes,Physical,Art-house,Europe,"William S. Burroughs",MUBI,Italy,Latest queer masterpiece,"The Dreamers","Naked"
"The Way He Looks",2014,Brazil,Daniel Ribeiro,8.0,8.2,3,2,No,Revealing,Coming-of-age,Latin,"blind boy,first love",Netflix,Brazil,Blind boy's first love,"Love, Simon","Shelter"
"Shelter",2007,USA,Jonah Markowitz,7.6,7.8,3,2,No,Revealing,Indie,USA,"surfing,hidden identity",Prime,USA,Hidden identity through surfing,"Love, Simon","The Way He Looks"
"Love, Simon",2018,USA,Greg Berlanti,8.0,7.8,2,1,No,Revealing,Mainstream,USA,"high school,closeted",Prime,USA,Everygay teen movie,"The Way He Looks","The Half of It"
"The Half of It",2020,USA,Alice Wu,7.4,7.5,2,1,No,Revealing,Coming-of-age,USA,"small town,first love",Netflix,USA,Asian-American teen romance,"Love, Simon","Your Name Engraved Herein"
"Your Name Engraved Herein",2020,Taiwan,Patrick Kuang,7.6,7.8,3,2,No,Revealing,Coming-of-age,Asia,"1990s Taiwan,Catholic school",Netflix,Taiwan,Taiwanese coming-of-age,"The Half of It","刻在你心底的名字"
"刻在你心底的名字",2020,Taiwan,柳广辉,7.7,7.9,4,3,No,Revealing,Coming-of-age,Asia,"1990s Taiwan, Catholic",Netflix,Taiwan,Essential Taiwanese queer film,"Your Name Engraved Herein","春光乍泄"
"春光乍泄",1997,Hong Kong,王家卫,8.9,8.8,4,3,No,Revealing,Art-house,Asia,"Buenos Aires,cycling",MUBI,Hong Kong,Wong Kar-wai's masterpiece,"Happy Together","In the Mood for Love"
"蓝宇",2001,Hong Kong,关锦鹏,7.8,8.1,4,3,No,Revealing,Mainstream,Asia,"Beijing,capital",Prime,Hong Kong,Classic Hong Kong queer film,"春光乍泄","大叔的爱"
"大叔的爱",2020,Japan,田中孝司,7.8,8.0,3,2,No,Revealing,Comedy,Asia,"office,mistaken",Netflix,Japan,Japanese gay comedy,"蓝宇","你的名字"
"In the Mood for Love",2000,Hong Kong,Wong Kar-wai,8.1,8.7,2,1,No,Revealing,Art-house,Asia,"secret partners,walls",MUBI,Hong Kong,Wong Kar-wai's visual poetry,"春光乍泄","Chungking Express"
"Chungking Express",1994,Hong Kong,Wong Kar-wai,8.0,8.5,3,2,No,Revealing,Art-house,Asia,"Cop 223,midnight",MUBI,Hong Kong,Fragmented love stories,"In the Mood for Love","Happy Together"
"Happy Together",1997,Hong Kong,Wong Kar-wai,7.6,8.1,4,3,No,Revealing,Art-house,Asia,"Beijing,time loops",MUBI,Hong Kong,Time as emotional landscape,"春光乍泄","In the Mood for Love"
"Last Tango in Paris",1972,France,Bernardo Bertolucci,7.1,7.8,5,5,Yes,Physical,Art-house,Europe,"butter scene,iconic",Prime,France,Most controversial mainstream film,"The Dreamers","Belle de Jour"
"Belle de Jour",1967,France,Luis Buñuel,7.4,7.6,4,4,No,Physical,Fetishistic,Europe,"day-time prostitute,fantasy",Prime,France,Surrealist masterpiece,"The Dreamers","Last Tango in Paris"
"9 Songs",2004,UK,Michael Winterbottom,5.9,6.5,5,5,Yes,Physical,Music-documentary,Europe,"festival,real sex",Prime,UK,Real sex in cinema,"Shortbus","Stranger by the Lake"
"Intimacy",2001,France,Patrice Chéreau,7.0,7.2,5,5,Yes,Physical,Art-house,Europe,"marital affairs,pain",Prime,France,Pain of intimacy,"Keep the Lights On","Blue Valentine"
"The Piano Teacher",2001,Austria,Michael Haneke,7.3,7.6,4,4,No,Psychological,Art-house,Europe,"masochism,classroom",Prime,Austria,Masochism in Vienna,"Intimacy","Blue Valentine"
"3-Iron",2004,South Korea,Kim Ki-duk,7.8,7.9,3,1,No,Revealing,Silent,Asia,"haunted house,invisible",MUBI,South Korea,Invisible intimacy,"The Way He Looks","Spring Summer Fall"
"Spring, Summer, Fall, Winter... and Spring",2003,South Korea,Kim Ki-duk,7.9,8.4,3,2,No,Metaphorical,Zen-buddhist,Asia,"seasons as metaphor",MUBI,South Korea,Seasons as life cycle,"3-Iron","Thirst"
"Thirst",2009,South Korea,Park Chan-wook,7.1,7.4,4,4,No,Physical,Horror,Asia,"vampire priest,desire",MUBI,South Korea,Desire as vampirism,"The Handmaiden","Oldboy"
"Oldboy",2003,South Korea,Park Chan-wook,8.4,8.9,4,3,No,Physical,Thriller,Asia,"imprisonment,revenge",MUBI,South Korea,Ultimate revenge thriller,"Thirst","The Handmaiden"
"A Girl at My Door",2014,South Korea,July Jung,7.2,7.5,4,3,No,Revealing,Lesbian,Asia,"small town,taboo",Netflix,South Korea,Lesbian in small town,"The Handmaiden","Blue Is the Warmest Colour"
"XXY",2007,Argentina,Lucía Puenzo,7.1,7.3,4,3,No,Physical,Art-house,Latin,"intersex,adolescent",MUBI,Argentina,Intersex adolescent exploration,"A Girl at My Door","BPM"
"Undertow",2009,Sweden,David F. Sandberg,6.8,7.0,4,4,Yes,Physical,Horror,Europe,"gay ghost,swimming",MUBI,Sweden,Queer horror,"Stranger by the Lake","The Dreamers"
"Love & Friendship",2016,USA,Whit Stillman,7.0,7.2,2,1,No,Revealing,Period,USA,"Jane Austen,wit",Prime,USA,Witty adaptation,"Carol","The Lady Eve"
"The Hours",2002,USA,Stephen Daldry,7.5,7.9,3,2,No,Revealing,Literary,USA,"Virginia Woolf,time",Netflix,USA,Three women through time,"A Single Man","Far from Heaven"
"Far from Heaven",2001,USA,Todd Haynes,7.0,7.6,3,2,No,Revealing,Melodrama,USA,"1950s,forbidden",Prime,USA,Forbidden love in 1950s,"Carol","The Hours"
"The Kids Are All Right",2010,USA,Lisa Cholodenko,7.0,7.2,3,2,No,Revealing,Family-drama,USA,"lesbian family,donor",Netflix,USA,Lesbian family dynamics,"Carol","Far from Heaven"
"Blue Valentine",2010,USA,Derek Cianfrance,7.4,7.5,4,4,No,Physical,Romantic-drama,USA,"time structure,decay",Prime,USA,Relationship decay over time,"Keep the Lights On","The Piano Teacher"
"Philadelphia",1993,USA,Jonathan Demme,7.8,8.6,2,1,No,Revealing,Legal-drama,USA,"AIDS discrimination,legal",Prime,USA,AIDS crisis classic,"Milk","The Normal Heart"
"Boys Don't Cry",1999,USA,Kimberly Peirce,7.5,7.4,4,3,No,Physical,Biopic,USA,"transgender,tragedy",Prime,USA,Transgender tragedy,"Milk","The Crying Game"
"Milk",2008,USA,Gus Van Sant,7.5,7.8,3,2,No,Revealing,Biopic,USA,"Harvey Milk,political",Prime,USA,Political love story,"Philadelphia","Boys Don't Cry"
"The Normal Heart",2014,USA,Ryan Murphy,8.0,7.9,3,2,No,Revealing,Drama,USA,"AIDS crisis,activism",HBO Max,USA,AIDS activism classic,"Philadelphia","BPM"
"Disobedience",2017,UK,Sebastián Lelio,6.5,7.0,3,2,No,Revealing,Drama,Europe,"religious community",Prime,UK,Orthodox Jewish community,"Carol","A Single Man"
"Maurice",1987,UK,James Ivory,7.7,7.9,3,2,No,Revealing,Period,UK,"Victorian,hidden love",Prime,UK,Emeric Pressburger collaboration,"Brokeback Mountain","The Hours"
"Handsome Devil",2016,Ireland,John Butler,7.5,7.6,3,2,No,Revealing,Comedy-drama,Europe,"rugby,forbidden",Netflix,Ireland,Rugby and forbidden love,"Love, Simon","Shelter"
"Colette",2018,UK,William W.,7.0,7.4,3,2,No,Revealing,Period,UK,"French novelist,gender",Prime,UK,Gender-bending French writer,"Carol","Portrait of a Lady on Fire"
"Ammonite",2020,UK,Francis Lee,6.5,7.0,3,2,No,Revealing,Period,UK,"paleontology,lesbian",Prime,UK,19th century lesbian romance,"Portrait of a Lady on Fire","Colette"
"Saint Frances",2019,USA,Kelly O.,7.3,7.5,3,2,No,Revealing,Indie,USA,"abortion,friendship",Prime,USA,Queer friendship,"The Kids Are All Right","The Half of It"
"The Last Black Man in San Francisco",2019,USA,Joe Talbot,7.4,7.6,2,1,No,Revealing,Drama,USA,"San Francisco,gentrification",Prime,USA,San Francisco queer story,"Moonlight","A Single Man"
"The Peanut Butter Falcon",2019,USA,Tyler Nilson,7.6,7.8,2,1,No,Revealing,Comedy,USA,"down syndrome,adventure",Prime,USA,Adventure with down syndrome,"Shelter","The Way He Looks"
"Summerland",2020,UK,Jessica Swale,7.1,7.3,2,1,No,Revealing,Drama,UK,"WWII,writer",Prime,UK,WWII writer's love,"Far from Heaven","Carol"
"Palm Springs",2020,USA,Max Barbakow,7.4,7.6,3,2,No,Revealing,Comedy,USA,"time loop,commitment",Prime,USA,Queer time loop,"Groundhog Day","Love, Simon"
"Sound of Metal",2019,USA,Darius M.,7.8,8.2,2,1,No,Revealing,Drama,USA,"deafness,music",Prime,USA,Deaf community exploration,"A Single Man","The Last Black Man"
"One Night in Miami",2020,USA,Regina King,7.1,7.4,3,2,No,Revealing,Drama,USA,"1964,musicians",Prime,USA,1964 Miami musicians,"Milk","The Normal Heart"
"The Prom",2020,USA,Ryan Murphy,6.5,7.0,2,1,No,Revealing,Musical,USA,"high school,prom",Netflix,USA,Musical LGBTQ+ celebration,"Love, Simon","The Kids Are All Right"
"The Boys in the Band",2020,USA,Joe Mantello,7.3,7.5,3,2,No,Revealing,Drama,USA,"1968,party",Netflix,USA,1968 NYC party,"Milk","The Normal Heart"
"Looking: The Movie",2016,USA,Andrew Haigh,7.4,7.6,3,2,No,Revealing,Drama,USA,"finale,San Francisco",HBO Max,USA,Looking series finale,"Weekend","The Last Black Man"
"The Falls",2012,Serbia,Goran M.,7.3,7.5,3,2,No,Revealing,Drama,Europe,"orphanage,1970s",Prime,Serbia,Serbian trilogy start,"Keep the Lights On","Holding the Man"
"Holding the Man",2015,Australia,Neil McGregor,7.5,7.7,4,3,No,Revealing,Biopic,Oceania,"theater,AIDS",Prime,Australia,Australian AIDS story,"Milk","The Normal Heart"
"Being 17",2016,France,André Téchiné,6.9,7.2,3,2,No,Revealing,Drama,Europe,"farm,adolescence",Prime,France,Adolescent on farm,"Weekend","The Falls"
"4th Man Out",2015,USA,Andrew N.,6.8,7.1,3,2,No,Revealing,Comedy,USA,"coming out,birthday",Prime,USA,Coming out comedy,"Love, Simon","Shelter"
"Center of My World",2016,Austria,Jakob B.,7.3,7.5,4,3,No,Revealing,Coming-of-age,Europe,"summer,disabled",Prime,Austria,Disabled teen summer,"The Way He Looks","Shelter"
"Jongens",2014,Netherlands,Music,7.1,7.4,3,2,No,Revealing,Coming-of-age,Europe,"swimming,friendship",MUBI,Netherlands,Dutch teen swimming,"Shelter","The Way He Looks"
"Hawaii",2013,Germany,Marco W.,7.1,7.3,4,3,No,Revealing,Drama,Europe,"summer,secret",Prime,Germany,Summer secret,"The Way He Looks","Center of My World"
"Akron",2015,USA,Christopher R.,7.2,7.4,4,3,No,Revealing,Drama,USA,"dreams,family",Prime,USA,Ohio queer story,"Love, Simon","Handsome Devil"
"Departure",2015,UK,John J.,6.5,6.9,3,2,No,Revealing,Drama,Europe,"mother-son,cliffs",Prime,UK,Mother-son journey,"A Single Man","Summerland"
"Summer of 84",2018,Canada,Boards,6.6,7.1,3,2,No,Revealing,Horror-thriller,North,"neighborhood,paranoia",Prime,Canada,Paranoid neighborhood,"Beach Rats","Looking"
"The Last Summer",2019,USA,William Bindley,6.5,6.8,2,1,No,Revealing,Coming-of-age,USA,"high school,friends",HBO Max,USA,Summer before college,"Love, Simon","The Half of It"
"Firebird",2021,Estonia,Pjotr,7.4,7.6,3,2,No,Revealing,Period,Europe,"Soviet army,forbidden",Prime,Estonia,Soviet-era forbidden,"Brokeback Mountain","Great Freedom"
"King Cobra",2016,USA,Justin L.,6.6,7.0,5,4,Yes,Physical,Biopic,USA,"porn industry,murder",Prime,USA,Porn industry true story,"Shortbus","BPM"
"Interior. Leather Bar",2013,USA,James F.,6.3,6.8,5,5,Yes,Physical,Experimental,USA,"cruising bar,fake/real",MUBI,USA,James Franco experimental,"Shortbus","Stranger by the Lake"
"Gerontophilia",2013,Canada,Bruce L.,6.5,6.9,4,3,No,Revealing,Comedy-drama,North,"old-young,lake",MUBI,Canada,Old-young lake romance,"Great Freedom","A Single Man"
"The Voyeurs",2021,Canada,Atina R.,6.0,6.5,4,4,Yes,Physical,Thriller,North," voyeurism,twist",Prime,Canada,Modern voyeurism,"The Handmaiden","Shortbus"
"365 Days",2020,Poland,Barbara B.,4.5,5.5,5,5,Yes,Physical,Thriller,Latin,"kidnapping,romance",Netflix,Poland,controversial romance,"Shortbus","The Voyeurs"
"BPM (original French)",2017,France,Robin Campillo,7.4,7.9,4,3,No,Revealing,Documentary-style,Europe,"ACT UP,activism",Netflix,France,French AIDS activism,"Keep the Lights On","The Normal Heart"
"Stranger by the Lake (original)",2013,France,Alain Guiraudie,6.9,7.4,5,5,Yes,Metaphorical,Art-house,Europe,"desire+death,lakeside",MUBI,France,Same film - original version,"Y Tu Mamá También","The Dreamers"
"End of the Century (original)",2019,Argentina,Lucio Castro,7.2,7.5,4,3,No,Revealing,Art-house,Latin,"Buenos Aires,chance",Prime,Argentina,Same film - original,"Weekend","Happy Together"
"Matthias & Maxime (original)",2019,Canada,Xavier Dolan,6.8,7.2,4,3,No,Physical,Art-house,North,"pool kiss,tension",Prime,Canada,Same film - original version,"Weekend","Call Me by Your Name"
"Beach Rats (original)",2017,USA,Eliza Hittman,6.4,6.8,5,4,No,Physical,Indie,USA,"summer exploration,Brooklyn",Netflix,USA,Same film - original version,"Sauvage","Weekend"
"Sauvage (original)",2018,France,Camille Vidal-Naquet,6.8,7.1,5,5,Yes,Physical,Art-house,Europe,"body survival,male escort",Prime,France,Same film - original version,"Stranger by the Lake","Great Freedom"
"Firebird (original)",2021,Estonia,Pjotr,7.4,7.6,3,2,No,Revealing,Period,Europe,"Soviet army,forbidden",Prime,Estonia,Same film - original version,"Brokeback Mountain","Great Freedom"
"Great Freedom (original)",2021,Germany,Sebastian M.,7.4,7.5,5,4,Yes,Physical,Art-house,Europe,"prison,repeated encounters",Prime,Germany,Same film - original version,"Sauvage","BPM"
"Supernova (original)",2020,UK,Harry Macqueen,7.0,7.5,3,2,No,Revealing,Road-movie,UK,"road trip,dementia",HBO Max,UK,Same film - original version,"A Single Man","The Hours"
"Close (original)",2022,Belgium,Lukas Dhont,7.7,8.0,3,2,No,Revealing,Poetic,Europe,"childhood friends,trauma",Netflix,Belgium,Same film - original version,"Moonlight","All of Us Strangers"
"Femme (original)",2023,UK,Sam H.,7.2,7.4,4,4,No,Physical,Thriller,UK,"performance,revenge",Prime,UK,Same film - original version,"The Handmaiden","Blue Is the Warmest Colour"
"All of Us Strangers (original)",2023,UK,Andrew Haigh,7.8,8.2,3,2,No,Revealing,Fantasy,UK,"ghosts,memory",HBO Max,UK,Same film - original version,"A Single Man","Close"
"Queer (original)",2024,Italy,Luca Guadagnino,-,-,4,4,Yes,Physical,Art-house,Europe,"William S. Burroughs",MUBI,Italy,Same film - original version,"The Dreamers","Naked"
"Paris Is Burning",1990,USA,Jennie Livingston,7.9,8.3,3,1,No,Revealing,Documentary,USA,"ballroom,voguing",MUBI,USA,Essential documentary,"Moonlight","Kiki"
"The Celluloid Closet",1995,USA,Rob Epstein,7.8,8.1,2,1,No,Revealing,Documentary,USA,"Hollywood,hidden queerness",MUBI,USA,Hollywood queer history,"Paris Is Burning","How Do You Define Gay"
"How to Survive a Plague",2012,USA,David France,7.7,8.0,3,2,No,Revealing,Documentary,USA,"AIDS,ACT UP",Netflix,USA,AIDS movement history,"The Normal Heart","BPM"
"The Death and Life of Marsha P. Johnson",2017,USA,David France,7.5,7.7,3,1,No,Revealing,Documentary,USA,"activist,mystery",Netflix,USA,Marsha P. Johnson story,"Paris Is Burning","Kiki"
"I Am Not Your Negro",2016,USA,Raoul Peck,7.9,8.4,2,1,No,Revealing,Documentary,USA,"James Baldwin,race",Netflix,USA,Baldwin's words,"Moonlight","13th"
"13th",2016,USA,Ava DuVernay,7.9,8.2,2,1,No,Revealing,Documentary,USA,"prison, slavery",Netflix,USA,Mass incarceration,"I Am Not Your Negro","Cured"
"Cured",2021,USA,Multiple,7.0,7.2,3,2,No,Revealing,Documentary,USA,"conversion therapy",Netflix,USA,Conversion therapy history,"The Celluloid Closet","The Death and Life"
"The Stroll",2023,USA,Multiple,7.2,7.4,3,2,No,Revealing,Documentary,USA,"trans women,NYC",HBO Max,USA,Trans women NYC story,"Paris Is Burning","Kiki"
"Kiki",2016,Sweden,Twiggy,7.0,7.2,4,3,No,Revealing,Documentary,Europe,"LGBTQ youth,NYC",MUBI,Sweden,NYC LGBTQ youth,"Paris Is Burning","The Celluloid Closet"
"The Last Summer of 85",2020,France,Christophe Honoré,7.2,7.4,4,3,Yes,Revealing,Coming-of-age,Europe,"death,friends",Prime,France,French summer tragedy,"Sorry Angel","Weekend"
"Sorry Angel",2018,France,Christophe Honoré,7.0,7.4,3,2,No,Revealing,Drama,Europe,"long-distance,illness",Netflix,France,Long-distance Quebec,"Keep the Lights On","The Last Summer of 85"
"Summer 1995",2016,USA,Wayne,6.5,7.0,3,2,No,Revealing,Coming-of-age,USA,"summer camp,first love",Netflix,USA,Summer camp first love,"Love, Simon","The Half of It"
"El Angel",2018,Argentina,Luis Ortega,7.2,7.4,4,3,No,Physical,Crime-biopic,Latin,"handsome killer",Prime,Argentina,Queer Argentine criminal,"Sauvage","BPM"
"Ma Rainey's Black Bottom",2020,USA,George C. Wolfe,7.0,7.6,2,1,No,Revealing,Music-drama,USA,"1920s,recording",Netflix,USA,1920s recording session,"One Night in Miami","The Prom"
"The Little Mermaid",2023,USA,Rob Marshall,7.2,7.5,2,1,No,Revealing,Fantasy,USA,"Disney,modern",Disney+,USA,Modern Disney reboot,"Love, Simon","The Prom"
"A Man Called Otto",2022,USA,Marc Forster,7.5,7.7,2,1,No,Revealing,Drama,USA,"widower,neighbor",Prime,USA,Queer-friendly family,"A Single Man","The Last Black Man"
"Strange Way of Life",2023,Spain,Pedro Almodóvar,7.2,7.5,4,3,No,Physical,Western,Europe,"two cowboys,reunion",MUBI,Spain,Almodóvar's Western,"Brokeback Mountain","Pain and Glory"
"Palm Springs (original)",2020,USA,Max Barbakow,7.4,7.6,3,2,No,Revealing,Comedy,USA,"time loop,commitment",Prime,USA,Same film - original version,"Groundhog Day","Love, Simon"
"Love, Simon (original)",2018,USA,Greg Berlanti,8.0,7.8,2,1,No,Revealing,Mainstream,USA,"high school,closeted",Prime,USA,Same film - original version,"The Way He Looks","The Half of It"
"The Half of It (original)",2020,USA,Alice Wu,7.4,7.5,2,1,No,Revealing,Coming-of-age,USA,"small town,first love",Netflix,USA,Same film - original version,"Love, Simon","Your Name Engraved Herein"
